Date,Mode,Category,Subcategory,Note,Amount,Expense,Currency
2015-01-01 08:55:49,Cash,Food,Milk,tea,10.0,Expense,INR
2015-01-01 09:12:53,Cash,Transportation,auto,share auto - Place H to Place T base,20.0,Expense,INR
2015-01-01 09:29:14,Cash,Transportation,auto,share jeep - Place T to brc,60.0,Expense,INR
2015-01-01 09:48:16,Credit Card,Food,Milk,bendys chicken biryani,400.0,Expense,INR
2015-01-01 09:57:15,Cash,Transportation,auto,ropeway Place T to and fro,142.0,Expense,INR
2015-01-01 13:18:52,Cash,Transportation,auto,bus - brc to Place H,30.0,Expense,INR
2015-01-01 13:24:15,Cash,Entertainment,Movie, monument,40.0,Expense,INR
2015-01-01 13:25:42,Cash,Transportation,auto,share jeep - Place T base to top,20.0,Expense,INR
2015-01-01 13:36:53,Cash,Transportation,auto,share auto - hospital to brc station,10.0,Expense,INR
2015-01-01 18:16:06,Cash,Transportation,auto,share jeep - Place T top to base,20.0,Expense,INR
2015-01-01 18:55:14,Cash,Food,Milk,Temple Prasad,200.0,Expense,INR
2015-01-02 09:36:34,Cash,Shopping,Laundry,undergarments,248.0,Expense,INR
2015-01-02 13:05:37,Cash,Household,Kirana,electricity bill,784.0,Expense,INR
2015-01-02 13:29:50,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-01-03 08:32:46,Cash,Food,Tea,No Notes,6.0,Expense,INR
2015-01-03 12:25:58,Saving Bank account 1,Food,Lunch,chicken manchow soup,88.0,Expense,INR
2015-01-03 13:34:20,Cash,Food,fruits,bananas,20.0,Expense,INR
2015-01-03 13:47:08,Cash,Food,Dinner,At restaurant,80.0,Expense,INR
2015-01-04 12:33:07,Cash,Food,Grocery,toothbrush + biscuits,50.0,Expense,INR
2015-01-05 13:42:06,Cash,Food,Grocery,dahi,20.0,Expense,INR
2015-01-11 08:28:37,Cash,Transportation,auto,Locality V to Permanent Residence,70.0,Expense,INR
2015-01-12 13:32:28,Cash,Food,Eggs,No Notes,84.0,Expense,INR
2015-01-12 13:54:37,Saving Bank account 1,Shopping,Footwear,roadstar black fishermen sandals,773.0,Expense,INR
2015-01-12 18:11:54,Saving Bank account 1,Shopping,Laundry,to Family,1024.0,Expense,INR
2015-01-13 18:52:47,Cash,Other,Pocket money,Internet renewal,500.0,Expense,INR
2015-01-13 18:52:47,Cash,Food,Milk,tea,10.0,Expense,INR
2015-01-14 12:42:56,Saving Bank account 1,Transportation,auto,travels - Mumbai to brc,760.0,Expense,INR
2015-01-14 15:35:57,Cash,Food,Milk,Lunch - chicken fried rice + chicken soup,120.0,Expense,INR
2015-01-14 23:38:24,Cash,Food,Milk,3 bananas,13.0,Expense,INR
2015-01-15 18:23:03,Cash,Food,Milk,tea,10.0,Expense,INR
2015-01-15 18:23:11,Cash,Transportation,auto,auto - Amit nagar to b45,100.0,Expense,INR
2015-01-15 22:22:20,Cash,Food,Milk,Ratri Bazar,155.0,Expense,INR
2015-01-16 16:30:51,Cash,Transportation,auto,auto -  to race course,10.0,Expense,INR
2015-01-16 16:32:42,Cash,Transportation,auto,auto - Alk to GTR,50.0,Expense,INR
2015-01-16 16:33:49,Cash,Transportation,auto,auto - GTR to hospital,30.0,Expense,INR
2015-01-18 07:31:42,Cash,Food,Milk,milk half gold,29.0,Expense,INR
2015-01-18 07:31:42,Cash,Food,Milk,tea,8.0,Expense,INR
2015-01-18 07:33:20,Cash,Food,Milk,vegetable,60.0,Expense,INR
2015-01-19 07:34:00,Cash,Food,Milk,milk half gold,29.0,Expense,INR
2015-01-20 09:32:18,Cash,Food,Milk,srikhand,65.0,Expense,INR
2015-01-21 09:05:41,Cash,Food,Milk,shev,50.0,Expense,INR
2015-01-21 09:32:34,Cash,Food,Milk,milk half gold,28.0,Expense,INR
2015-01-21 13:11:41,Credit Card,Transportation,auto,train - brc to mmct,138.0,Expense,INR
2015-01-21 13:12:12,Cash,Transportation,auto,train - bdts to brc,264.0,Expense,INR
2015-01-21 18:17:03,Cash,Household,Kirana,broom,60.0,Expense,INR
2015-01-21 18:17:03,Cash,Food,Milk,grocery,120.0,Expense,INR
2015-01-21 18:17:03,Cash,Food,Milk,samosa + 2 tea,27.0,Expense,INR
2015-01-22 16:44:45,Cash,Food,Milk,snacks,33.0,Expense,INR
2015-01-22 16:44:45,Cash,Food,Milk,tea,20.0,Expense,INR
2015-01-24 16:17:57,Cash,Food,Milk,tea,30.0,Expense,INR
2015-01-25 18:45:56,Cash,Shopping,Laundry,hair cut,60.0,Expense,INR
2015-01-26 07:40:05,Credit Card,Food,Milk,grocery,311.0,Expense,INR
2015-01-26 07:42:43,Cash,Food,Milk,paav,30.0,Expense,INR
2015-01-26 19:39:39,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-01-27 18:34:10,Cash,Food,Milk,tea,30.0,Expense,INR
2015-01-27 18:34:20,Cash,Food,Milk,chana chat,15.0,Expense,INR
2015-01-29 07:30:48,Cash,Food,Milk,samosa,15.0,Expense,INR
2015-01-29 07:30:48,Cash,Food,Milk,good day biscuits,38.0,Expense,INR
2015-01-29 07:30:48,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-01-30 23:10:04,Cash,Transportation,auto,auto - Genda circle to b45,100.0,Expense,INR
2015-01-30 23:10:04,Cash,Food,Milk,dinner treat,1004.0,Expense,INR
2015-01-31 16:14:27,Cash,Food,Milk,bhindi,40.0,Expense,INR
2015-01-31 16:14:27,Cash,Food,Milk,bananas,20.0,Expense,INR
2015-02-01 08:08:38,Saving Bank account 1,Other,Pocket money,Permanent Residence money transfer,10000.0,Expense,INR
2015-02-01 12:27:51,Cash,Food,Milk,4 eggs,28.0,Expense,INR
2015-02-01 12:52:11,Cash,Food,Milk,grocery,66.0,Expense,INR
2015-02-01 13:54:20,Cash,Food,Milk,tea,10.0,Expense,INR
2015-02-02 09:23:49,Cash,Food,Milk,5 eggs,30.0,Expense,INR
2015-02-02 17:18:58,Cash,Food,Milk,milk half shakti,26.0,Expense,INR
2015-02-02 17:19:25,Saving Bank account 1,Other,Pocket money,Permanent Residence money transfer,10000.0,Expense,INR
2015-02-03 08:22:20,Cash,Health,Hospital,dentist check-up,300.0,Expense,INR
2015-02-03 09:05:32,Cash,Food,Lunch,canteen lunch,25.0,Expense,INR
2015-02-03 12:25:11,Cash,Food,Tea,No Notes,30.0,Expense,INR
2015-02-03 12:42:37,Cash,Transportation,auto,to office,10.0,Expense,INR
2015-02-03 12:46:06,Cash,Health,Medicine,painkillers,226.0,Expense,INR
2015-02-03 13:48:23,Cash,Food,breakfast,2 uttapam,40.0,Expense,INR
2015-02-05 08:32:52,Cash,Food,Milk,milk half shakti,28.0,Expense,INR
